element_type,osmid,amenity,gnis:county_name,name,lon,lat
node,3998454051,fuel,,Speedway,-106.4083125,31.9387158
node,3998454052,fast_food,,McDonald's,-106.4083256,31.9383805
node,3998454053,car_wash,,,-106.4081772,31.9389498
node,3999837509,fast_food,,Domino's,-106.407224,31.900929
node,3999837513,restaurant,,"Carnitas ""Tio Juan""",-106.4073951,31.9019757
node,4072179999,restaurant,,Twin Peaks,-106.3689105,31.7679042
node,4190553672,bar,,Brass Monkey,-106.5058409,31.7820341
node,4232358498,fast_food,,Einstein Bro's Bagels,-106.5073966,31.7691112
node,4232558479,theatre,,Magoffin Auditorium,-106.5061129,31.7708438
node,4306942475,fuel,,,-106.4004425,31.7604699
node,4540655666,restaurant,,Xtreme Pizza & Wings,-106.3414303,31.75679
node,4628007482,restaurant,,Chico's Tacos,-106.4450926,31.8070613
node,4628007842,parking,,,-106.3997551,31.7519717
node,4675898805,parking_space,,,-106.275958,31.7541855
node,4794566623,restaurant,,King Crab,-106.2800631,31.7495542
node,4936417726,fast_food,,McDonald's,-106.5585773,31.8597935
node,4943294007,restaurant,,Pizza Hut,-106.2505472,31.7787044
node,4953855094,restaurant,,Peking Kitchen,-106.4293447,31.7833797
node,5143831895,fast_food,,Dunkin' Donuts,-106.5606087,31.8598995
node,5143831903,fast_food,,Jack in the Box,-106.5610163,31.8598756
node,5163777321,fuel,,Alon,-106.499649,31.7733335
node,5201027539,fast_food,,Domino's,-106.50276,31.7762484
node,5201027540,restaurant,,Wing Daddy's Express,-106.5028195,31.7763123
node,5201027542,fast_food,,Subway,-106.503313,31.7766236
node,5201027544,restaurant,,Mirai Bowl,-106.5032258,31.7765371
node,5400285125,fast_food,,Sonic,-106.5839267,31.8528632
node,5412951235,fast_food,,Dunkin' Donuts,-106.4272281,31.870751
node,5637988546,restaurant,,,-106.61146,31.880262
node,5637988547,restaurant,,,-106.6115007,31.8804192
node,5868363287,fast_food,,Dunkin' Donuts,-106.4149523,31.7850579
node,5868377287,restaurant,,Los Bandidos de Carlos & Mickey's,-106.4170176,31.7862822
node,5868449280,fast_food,,Long John Silver's,-106.4111623,31.7872694
node,5868450086,fast_food,,Wendy's,-106.4107554,31.7874886
node,5879253486,fast_food,,McDonald's,-106.5313194,31.8307064
node,6167527664,parking,,,-106.4851883,31.8395097
node,6219499598,car_wash,,,-106.4235307,31.9191191
node,6219586258,restaurant,,Sabrosos Tamales,-106.423139,31.9024253
node,6219590205,fast_food,,Subway,-106.4227152,31.9024754
node,6382586844,fuel,,,-106.4219145,31.9152318
node,6410708201,fast_food,,Panda Express,-106.2669307,31.7552637
node,6410708202,fast_food,,Burger King,-106.2701278,31.7591831
node,6410708204,fast_food,,Chih'ua Tacos,-106.2719575,31.7587483
node,6410708205,fast_food,,Dairy Queen,-106.2716005,31.7590463
node,6410708206,fast_food,,Cane's,-106.2712869,31.7594636
node,6410708207,fast_food,,Taco Bell,-106.2707863,31.759838
node,6547857187,restaurant,,Greyhound,-106.4900683,31.756914
node,6573863737,bar,,Erin's Bar,-106.5336937,31.8325842
node,6900230788,cinema,,AMC CLASSIC East Pointe 12,-106.3282792,31.7404904
node,6912071038,cinema,,El Paso PREMIERE Montwood,-106.3377488,31.7744693
node,7722493416,restaurant,,Poke³,-106.5065038,31.7851236
node,7993876339,restaurant,,Del Paso Mexican Restaurant,-106.3235778,31.7854608
node,8550511418,parking,,,-106.4819203,31.7546516
node,8558765962,fast_food,,Chick-fil-A,-106.2617876,31.806825
node,8558784407,fast_food,,Chick-fil-A,-106.2998013,31.7279845
node,8630879776,parking,,,-106.3746717,31.774216
node,8630879777,restaurant,,Grimaldis,-106.3707089,31.7690461
node,8630879779,parking,,,-106.402085,31.7933581
node,8630879781,parking,,,-106.2822113,31.782224
node,8630879782,parking,,,-106.2603057,31.7838988
node,8630879783,parking,,,-106.2601175,31.7856831
node,8631005861,restaurant,,Carlos & Mickey's,-106.3952933,31.7991706
node,8631005867,parking,,,-106.3695591,31.7695523
node,8631005872,restaurant,,The Melting Pot,-106.3726437,31.7699592
node,8631005873,restaurant,,Kona Grill,-106.372825,31.7700798
node,8631005874,restaurant,,P.F. Chang's,-106.3735827,31.7704498
node,8631005875,fast_food,,Tropical Smoothie Cafe,-106.3733395,31.7707027
node,8631005878,fast_food,,Dapper Donut,-106.3726248,31.7703635
node,8631005885,fast_food,,Firehouse Subs,-106.3721457,31.7713398
node,8631005890,cafe,,Starbucks,-106.3753327,31.7719686
node,8631005892,fast_food,,Five Guys,-106.3755158,31.772016
node,8631005894,restaurant,,Luby's,-106.3747496,31.7745429
node,8631005895,fast_food,,Panda Express,-106.375076,31.774085
node,8732326897,fast_food,,Dairy Queen,-106.5806603,31.9076263
node,8732326915,fuel,,Speedway,-106.5805725,31.9074273
node,8732326916,fuel,,Speedway,-106.5809618,31.9074453
node,8734270428,fuel,,Speedway,-106.5843978,31.9096088
node,8761732836,parking,,,-106.4964024,31.7700997
node,8890853290,fast_food,,Popeyes,-106.586772,31.9071917
node,8991692317,restaurant,,Rosa’s Cantina (Marty Robbins),-106.5435373,31.8054853
node,8997255518,restaurant,,Doggo’s Taco’s,-106.3960682,31.7562758
node,9007006343,fuel,,Circle K,-106.3438687,31.7055529
node,9007006345,fuel,,Speedway,-106.3433647,31.7049436
node,9008046167,fuel,,Speedway,-106.284788,31.803786
node,9008050185,fuel,,Speedway,-106.269789,31.7610513
node,9008050191,fuel,,Speedway,-106.2584675,31.7604349
node,9008069970,fuel,,Speedway,-106.3393246,31.7724509
node,9008079340,fuel,,Speedway,-106.2445413,31.7972655
node,9008085966,fuel,,Speedway,-106.3024023,31.7643336
node,9008087778,fuel,,Speedway,-106.3758758,31.752453
node,9008087978,fuel,,Speedway,-106.3676436,31.7333144
node,9008121092,fuel,,Speedway,-106.3744125,31.7751685
node,9008134177,fuel,,Speedway,-106.4331912,31.7834783
node,9008172033,fast_food,,McDonald's,-106.556316,31.8131259
node,9008186505,fuel,,Speedway,-106.579252,31.8408667
node,9008189779,fuel,,Speedway,-106.5501101,31.8352566
node,9008418525,fuel,,Speedway,-106.4402776,31.9235131
node,9008431842,fuel,,Speedway,-106.5805203,31.907893
node,9154108085,fast_food,,Wingstop,-106.4069519,31.9394526
node,9181310175,restaurant,,Chuck E. Cheese's,-106.3575058,31.7613612
node,9351721981,cafe,,Starbucks,-106.3734628,31.7719516
node,9363913341,fast_food,,Schlotzsky's,-106.552362,31.8365034
node,9363913342,ice_cream,,Cold Stone Creamery,-106.5522329,31.836476
node,9378134277,fast_food,,McDonald's,-106.4385099,31.8963247
way,87175774,fast_food,,Burger King,-106.41396170283608,31.785630484649403
way,87175777,fast_food,,Taco Bell,-106.41447765,31.7853158
way,87179075,cafe,,Starbucks,-106.39270875097864,31.779292066162466
way,101346536,parking,,,-106.44870441877883,31.932401931841305
way,105696648,parking,,,-106.49320114410556,31.877908463830686
way,114076602,parking,,,-106.60530996547928,31.86561775834161
way,118999677,cafe,,Starbucks,-106.57246162725244,31.839396292785402
way,119006606,restaurant,,Singapore Cafe,-106.50733618652808,31.791363529309645
way,127463648,fuel,,Sam's Club,-106.57538346640624,31.8409021987556
way,127463649,car_wash,,,-106.57575187134694,31.841247505168944
way,127463651,restaurant,,Pizza Hut,-106.57581402875084,31.84095038919149
way,127463672,fast_food,,KFC,-106.57490580000001,31.840733549999996
way,127463673,fast_food,,McDonald's,-106.57362696125948,31.840476749513037
way,127464692,fuel,,Sam's Club,-106.38648615000001,31.7767651
way,129475235,fast_food,,Carl's Jr.,-106.58348961120628,31.882434998150487
way,129475237,fuel,,Speedway,-106.58311711975404,31.88262936666666
way,129475238,fuel,,Speedway,-106.58276006993641,31.88245609888305
way,135146298,fuel,,Valero,-106.5115884560089,31.795637814580335
way,146302547,restaurant,,Tara Thai Restaurant,-106.50243058268894,31.776752271327968
way,160682614,fuel,,Valero Corner Station,-106.50470259774919,31.780384475487182
way,160682619,restaurant,,Carl's JR.,-106.50485818229839,31.780976574113883
way,160685827,parking,,,-106.50200392145254,31.77597932960859
way,160913646,fast_food,,Wienerschnitzel,-106.55101073082784,31.836294233714256
way,160913651,fast_food,,Subway,-106.54884480000001,31.8358215
way,160913667,fast_food,,Popeyes,-106.55718446721693,31.83740437899422
way,161021363,restaurant,,Golden Corral,-106.56008050000001,31.8381563
way,161021365,restaurant,,Leo's Mexican Food Restaurant,-106.56744195,31.8352633
way,161021370,fast_food,,Wendy's,-106.5627105197667,31.83759566431507
way,161021392,cinema,,,-106.5639837,31.83195875
way,161021395,fast_food,,Taco Bell,-106.5615681,31.8374575
way,161021412,fast_food,,Chick-fil-A,-106.56680877910982,31.8379788410545
way,161027979,fast_food,,Krispy Kreme,-106.5679565,31.8395316
way,161028001,fuel,,Diamond Shamrock,-106.56839226155812,31.839519310246654
way,161028003,restaurant,,Texas Roadhouse,-106.56850300026736,31.84040439628999
way,161870628,restaurant,,Gonzalo's Restaurant,-106.49189651970778,31.767440775003813
way,166556223,parking,,United Parking Systems,-106.48953464689892,31.756948864904196
way,166559968,parking,,,-106.4938206853548,31.762838007374892
way,166559977,parking,,,-106.49473963549877,31.757191521700527
way,166643378,fast_food,,Burger King,-106.48865322992823,31.755266211989177
way,170305464,cafe,,Starbucks,-106.5291649,31.8292649
way,170305468,restaurant,,P.F. Chang's,-106.54615181095416,31.817005876901714
way,170305470,restaurant,,Olive Garden,-106.545553691644,31.817337132352524
way,170305476,restaurant,,Red Lobster,-106.54699254999998,31.816475
way,170305480,restaurant,,Chuck E. Cheese's,-106.5434853,31.81805325
way,171326378,fast_food,,Carl's Jr.,-106.29171626456589,31.73744759741966
way,171326380,pub,,Brew Sports Pub & Grill East,-106.29386457833903,31.73610001439868
way,171326383,fuel,,Circle K,-106.29250744999999,31.73770655
way,171326384,restaurant,,El Portal Del CIRO's Mexican & Seafood,-106.29409117331203,31.735826517384062
way,171326386,restaurant,,Carnitas Queretaro,-106.29350324999999,31.736582800000004
way,171326387,restaurant,,Ernie's Cafe,-106.29041120393248,31.73902648282006
way,171326390,fuel,,Valero,-106.29129790376716,31.738106690963058
way,171326392,fast_food,,Tacotote,-106.29317060000001,31.7369762
way,171326395,fast_food,,Wienerschnitzel,-106.29423658494086,31.735568652090887
way,172344110,restaurant,,Peter Piper Pizza,-106.26512686314358,31.806262322354108
way,172350539,fast_food,,Taco Bell,-106.26323485,31.806609600000005
way,172350540,fast_food,,Burger King,-106.26422063846657,31.806450207805362
way,172460322,fuel,,Valero,-106.43955208309266,31.869286869728313
way,173386110,fast_food,,McDonald's,-106.34441080618737,31.75305879749579
way,173386602,fuel,,Circle K,-106.24807730000002,31.80864865
way,173390034,restaurant,,Landry's,-106.38839650000003,31.777439600000005
way,173390036,restaurant,,Olive Garden,-106.37926776806357,31.773665303559426
way,173390794,restaurant,,Hooters,-106.38480775,31.778674650000003
way,173390796,cinema,,Cinemark,-106.38271331416607,31.778475097715464
way,173390797,restaurant,,Red Lobster,-106.38347700000001,31.775435
way,183123973,parking,,,-106.5096049942109,31.91665620772479
way,193976192,parking,,,-106.25800968539957,31.795072903657108
way,193976204,parking,,,-106.25527366554395,31.793679310765608
way,193976210,parking,,,-106.25890831458558,31.79495785797277
way,196932520,parking,,,-106.39101407151159,31.79779154746592
way,196932683,parking,,,-106.39372808501619,31.79601481599611
way,196932738,parking,,,-106.39532025926162,31.798047714287936
way,196933099,parking,,,-106.39665978790654,31.79961192526612
way,203676489,parking,,,-106.5755611,31.894969899999996
