WORKORDERID,ACTUALSTARTDATE,ACTUALFINISHDATE,UNITSACCOMP,WOXCOORDINATE,WOYCOORDINATE
713552,3/9/2020  12:00:00 PM,3/9/2020  12:00:00 PM,18,437996.25,10634315.5
713553,3/23/2020  12:00:00 AM,3/23/2020  12:00:00 AM,21,444364.69,10649068
713556,3/23/2020  12:00:00 AM,3/23/2020  12:00:00 AM,2,459557.57,10657329.15
713559,3/23/2020  12:00:00 AM,3/23/2020  12:00:00 AM,2,457313.28,10664725.11
713562,3/9/2020  12:00:00 PM,3/9/2020  12:00:00 PM,8,440315.6,10633658.33
713564,3/23/2020  12:00:00 AM,3/23/2020  12:00:00 AM,1,456182.48,10664912.97
713567,3/23/2020  12:00:00 AM,3/23/2020  12:00:00 AM,1,437179.32,10657528.18
713568,3/9/2020  12:00:00 PM,3/9/2020  12:00:00 PM,9,441679.13,10631037.33
713569,3/23/2020  12:00:00 AM,3/23/2020  12:00:00 AM,3,454124.38,10645005.07
713570,3/23/2020  12:00:00 AM,3/23/2020  12:00:00 AM,2,454367.45,10644694.51
713571,3/9/2020  6:00:00 AM,3/9/2020  6:00:00 AM,8,441472.66,10630814.67
713578,3/23/2020  12:00:00 AM,3/23/2020  12:00:00 AM,2,438330.97,10645009.5
713579,3/23/2020  12:00:00 AM,3/23/2020  12:00:00 AM,10,444093.21,10638569.42
713581,3/31/2020  12:00:00 PM,3/31/2020  12:00:00 PM,4,350649.01,10683766.08
713583,3/23/2020  12:00:00 AM,3/23/2020  12:00:00 AM,4,444450.27,10637666.5
713584,3/31/2020  12:00:00 PM,3/31/2020  12:00:00 PM,1,350649.01,10683766.08
713585,3/9/2020  12:00:00 PM,3/9/2020  12:00:00 PM,9,440290.98,10630371.5
713586,3/31/2020  12:00:00 PM,3/31/2020  12:00:00 PM,4,350649.01,10683766.08
713587,3/9/2020  6:00:00 AM,3/9/2020  6:00:00 AM,20,440113.17,10630207.17
713589,3/31/2020  12:00:00 PM,3/31/2020  12:00:00 PM,1,350715.45,10683219.18
713590,3/9/2020  12:00:00 PM,3/9/2020  12:00:00 PM,6,439867.36,10630137.5
713591,3/31/2020  12:00:00 PM,3/31/2020  12:00:00 PM,2,379222.78,10690181.91
713593,3/9/2020  6:00:00 AM,3/9/2020  6:00:00 AM,53,439436.64,10630155.62
713594,3/31/2020  12:00:00 PM,3/31/2020  12:00:00 PM,7,380663.04,10672709.31
713595,3/9/2020  12:00:00 PM,3/9/2020  12:00:00 PM,18,439019.63,10629873.8
713596,3/31/2020  12:00:00 PM,3/31/2020  12:00:00 PM,2,381162.2,10674458.67
713597,3/23/2020  12:00:00 AM,3/23/2020  12:00:00 AM,5,443574.49,10640005.99
713599,3/31/2020  12:00:00 PM,3/31/2020  12:00:00 PM,1,381162.2,10674458.67
713600,3/9/2020  12:00:00 PM,3/9/2020  12:00:00 PM,9,439436.64,10630155.62
713602,3/31/2020  12:00:00 PM,3/31/2020  12:00:00 PM,2,380340.18,10663697.5
713603,3/23/2020  12:00:00 AM,3/23/2020  12:00:00 AM,2,442323.34,10641685.99
713605,3/31/2020  12:00:00 PM,3/31/2020  12:00:00 PM,4,374983.9,10677732.12
713607,3/23/2020  12:00:00 AM,3/23/2020  12:00:00 AM,1,444601.58,10641097.89
713609,3/9/2020  12:00:00 PM,3/9/2020  12:00:00 PM,20,439867.36,10630137.5
713610,3/23/2020  12:00:00 AM,3/23/2020  12:00:00 AM,4,444601.58,10641097.89
713613,3/9/2020  12:00:00 PM,3/9/2020  12:00:00 PM,8,440113.17,10630207.17
713616,3/9/2020  6:00:00 AM,3/9/2020  6:00:00 AM,6,440290.98,10630371.5
704255,1/23/2020  12:00:00 AM,1/23/2020  12:00:00 AM,8,446632.03,10647718.84
704256,1/23/2020  12:00:00 AM,1/23/2020  12:00:00 AM,2,446658.08,10648424.75
710077,3/16/2020  1:35:29 PM,3/16/2020  2:45:38 PM,7,464577.43,10660460.68
710083,3/16/2020  2:40:14 PM,3/16/2020  3:00:24 PM,1,392821.92,10677547.5
710085,3/16/2020  3:10:55 PM,3/16/2020  3:30:02 PM,2,392821.92,10677547.5
710087,2/29/2020  12:00:00 PM,2/29/2020  12:00:00 PM,6,435015.69,10640003.5
710091,2/29/2020  12:00:00 PM,2/29/2020  12:00:00 PM,1,435179.86,10640588
710095,3/16/2020  2:55:54 PM,3/16/2020  3:15:04 PM,5,434658.5,10662647.5
710099,2/29/2020  12:00:00 PM,2/29/2020  12:00:00 PM,8,432616.92,10648174.31
710105,2/29/2020  12:00:00 PM,2/29/2020  12:00:00 PM,16,433685.27,10646431.5
710107,2/29/2020  12:00:00 PM,2/29/2020  12:00:00 PM,13,433133.47,10645081
710110,2/29/2020  12:00:00 PM,2/29/2020  12:00:00 PM,4,441195.27,10630687.5
710111,2/29/2020  12:00:00 PM,2/29/2020  12:00:00 PM,8,430375.39,10639662
710117,3/5/2020  12:00:00 AM,3/5/2020  12:00:00 AM,1,442140.16,10651252.36
710121,3/5/2020  12:00:00 AM,3/5/2020  12:00:00 AM,2,444029.15,10650263.83
710125,3/5/2020  12:00:00 AM,3/5/2020  12:00:00 AM,16,444339.1,10650205.33
710129,3/5/2020  12:00:00 AM,3/5/2020  12:00:00 AM,3,445056.78,10649797.62
710132,3/5/2020  12:00:00 AM,3/5/2020  12:00:00 AM,7,444752,10648596
710137,3/5/2020  12:00:00 AM,3/5/2020  12:00:00 AM,6,444786.5,10648295.88
710138,3/5/2020  12:00:00 AM,3/5/2020  12:00:00 AM,4,444751.16,10647722.38
710143,3/5/2020  12:00:00 AM,3/5/2020  12:00:00 AM,2,439277.98,10651349
710144,3/5/2020  12:00:00 AM,3/5/2020  12:00:00 AM,2,441785.64,10650607
710148,3/5/2020  12:00:00 AM,3/5/2020  12:00:00 AM,4,443759.58,10650413
710150,3/5/2020  12:00:00 AM,3/5/2020  12:00:00 AM,6,444789.43,10648024.5
710152,3/5/2020  12:00:00 AM,3/5/2020  12:00:00 AM,3,444698.33,10647487.55
710155,3/5/2020  12:00:00 AM,3/5/2020  12:00:00 AM,4,444481.08,10646994.4
710159,3/5/2020  12:00:00 AM,3/5/2020  12:00:00 AM,8,448372.05,10645669
710160,3/5/2020  12:00:00 AM,3/5/2020  12:00:00 AM,13,433791.16,10656501
710163,3/5/2020  12:00:00 AM,3/5/2020  12:00:00 AM,2,433825.75,10654888
710164,3/5/2020  12:00:00 AM,3/5/2020  12:00:00 AM,7,433735.66,10653890.5
710166,3/5/2020  12:00:00 AM,3/5/2020  12:00:00 AM,30,434648.31,10652388.5
710169,3/5/2020  12:00:00 AM,3/5/2020  12:00:00 AM,5,433825.75,10654888
