id,VMT,count,percentage,FIPS
679203,"3 (Tract 103.36, El Paso, TX)",28796.2,0.17,481410103363
679210,"3 (Tract 8, El Paso, TX)",20527.8,0.12,481410008003
679217,"1 (Tract 24, El Paso, TX)",15248.2,0.09,481410024001
679263,"2 (Tract 104.05, El Paso, TX)",18091.90002,0.11,481410104052
679282,"2 (Tract 102.14, El Paso, TX)",47066.5,0.28,481410102142
679295,"1 (Tract 102.15, El Paso, TX)",77009.19992,0.45,481410102151
679300,"1 (Tract 43.18, El Paso, TX)",43029.40005,0.25,481410043181
679320,"1 (Tract 30, El Paso, TX)",12180.70003,0.07,481410030001
679332,"1 (Tract 103.44, El Paso, TX)",47018.60007,0.28,481410103441
679334,"7 (Tract 25, El Paso, TX)",8444.400042,0.05,481410025007
679356,"3 (Tract 19, El Paso, TX)",8391.400009,0.05,481410019003
679380,"3 (Tract 38.04, El Paso, TX)",42235.7,0.25,481410038043
680230,"5 (Tract 23, El Paso, TX)",10996.50001,0.06,481410023005
680291,"3 (Tract 2.05, El Paso, TX)",15679.29998,0.09,481410002053
680324,"1 (Tract 2.08, El Paso, TX)",61207.30005,0.36,481410002081
680349,"2 (Tract 33, El Paso, TX)",8522.200002,0.05,481410033002
680402,"1 (Tract 101.03, El Paso, TX)",53807.40015,0.31,481410101031
680421,"3 (Tract 35.01, El Paso, TX)",14802,0.09,481410035013
680447,"1 (Tract 1.06, El Paso, TX)",14950.19998,0.09,481410001061
680921,"5 (Tract 13.02, El Paso, TX)",19967.90002,0.12,481410013025
680938,"1 (Tract 103.07, El Paso, TX)",17979.59999,0.11,481410103071
680955,"1 (Tract 34.03, El Paso, TX)",10512.09998,0.06,481410034031
681041,"2 (Tract 35.02, El Paso, TX)",13270.00002,0.08,481410035022
681049,"1 (Tract 43.20, El Paso, TX)",21991.30001,0.13,481410043201
681072,"2 (Tract 4.01, El Paso, TX)",26481.79992,0.15,481410004012
681073,"1 (Tract 103.42, El Paso, TX)",190312.6,1.11,481410103421
681075,"3 (Tract 30, El Paso, TX)",13210.40001,0.08,481410030003
681135,"4 (Tract 103.12, El Paso, TX)",9002.900034,0.05,481410103124
681152,"1 (Tract 103.23, El Paso, TX)",37494.00002,0.22,481410103231
681213,"2 (Tract 103.47, El Paso, TX)",17300.79998,0.1,481410103472
681220,"2 (Tract 40.02, El Paso, TX)",53043.60001,0.31,481410040022
681223,"1 (Tract 11.12, El Paso, TX)",28563.8,0.17,481410011121
684021,"3 (Tract 43.19, El Paso, TX)",66607.6,0.39,481410043193
684030,"4 (Tract 9, El Paso, TX)",22491.6,0.13,481410009004
684069,"2 (Tract 2.05, El Paso, TX)",27805.50003,0.16,481410002052
684080,"2 (Tract 1.07, El Paso, TX)",26236.1,0.15,481410001072
684193,"1 (Tract 9, El Paso, TX)",78159.40004,0.46,481410009001
684212,"4 (Tract 15.01, El Paso, TX)",28444.40002,0.17,481410015014
690267,"2 (Tract 26, El Paso, TX)",8392.399984,0.05,481410026002
690283,"1 (Tract 104.08, El Paso, TX)",28779.40012,0.17,481410104081
690366,"5 (Tract 103.07, El Paso, TX)",12696.20001,0.07,481410103075
690422,"3 (Tract 103.24, El Paso, TX)",20154.99999,0.12,481410103243
690434,"1 (Tract 35.02, El Paso, TX)",20213.90002,0.12,481410035021
691796,"1 (Tract 43.14, El Paso, TX)",33061.80003,0.19,481410043141
693289,"3 (Tract 42.02, El Paso, TX)",6537.200008,0.04,481410042023
693306,"4 (Tract 41.03, El Paso, TX)",10274.3,0.06,481410041034
693334,"1 (Tract 12.01, El Paso, TX)",40019.30006,0.23,481410012011
693336,"1 (Tract 4.04, El Paso, TX)",19508.79999,0.11,481410004041
693353,"4 (Tract 23, El Paso, TX)",7593.799979,0.04,481410023004
693429,"3 (Tract 3.02, El Paso, TX)",15584.00003,0.09,481410003023
693474,"3 (Tract 103.31, El Paso, TX)",64665.50005,0.38,481410103313
693507,"3 (Tract 38.01, El Paso, TX)",27241.90002,0.16,481410038013
693553,"2 (Tract 17, El Paso, TX)",2789,0.02,481410017002
694967,"1 (Tract 103.12, El Paso, TX)",23514.00003,0.14,481410103121
696239,"1 (Tract 3.02, El Paso, TX)",10916.50002,0.06,481410003021
696263,"2 (Tract 41.06, El Paso, TX)",8407.599991,0.05,481410041062
696384,"4 (Tract 103.17, El Paso, TX)",9677.999979,0.06,481410103174
