geo_name,NAME,land_area_sqft_single_family,land_area_sqft_multi_family,land_area_sqft_retail,land_area_sqft_office,land_area_sqft_non_retail_attraction,land_area_sqft_mixed_use,land_area_sqft_industrial,land_area_sqft_civic_institutional,land_area_sqft_transportation_utilities,land_area_sqft_open_space,land_area_sqft_agriculture,land_area_sqft_other,land_area_sqft_unknown
43.14,"Census Tract 43.14, El Paso County, Texas",10232760,647318,1558767,415511,460965,256427,0,522057,7714,286807,0,187140,0
102.14,"Census Tract 102.14, El Paso County, Texas",32010314,487831,107444,53667,0,28148,0,2779476,0,41318546,273063,25799890,0
4.03,"Census Tract 4.03, El Paso County, Texas",8623796,1213045,1048003,54198,40387,24127,0,1540505,154942,362152,0,818109,0
1.11,"Census Tract 1.11, El Paso County, Texas",5573877,1373987,1092266,0,0,161064,0,0,0,357654,0,0,0
34.03,"Census Tract 34.03, El Paso County, Texas",8857266,1412413,9226091,2038007,307946,265214,0,2344261,76553,2442874,0,108663,0
43.11,"Census Tract 43.11, El Paso County, Texas",10001060,526722,1415382,240983,101929,461693,0,587350,0,1096491,0,5788,0
3.01,"Census Tract 3.01, El Paso County, Texas",9615324,1640280,5319097,72156,85675,802914,0,2300168,0,3318053,0,49842,0
13.01,"Census Tract 13.01, El Paso County, Texas",27611059,712813,85119,0,0,150103,0,3531622,7294,0,1565746,4033785,0
32,"Census Tract 32, El Paso County, Texas",4286067,289621,7053597,1030114,607682,442734,323574,1453949,98738,358129,0,439379,0
29,"Census Tract 29, El Paso County, Texas",1078400,203991,3092677,48256,595647,81627,208594,1377721,8121,595250,0,81890,0
43.07,"Census Tract 43.07, El Paso County, Texas",14590679,1014403,4275945,1045457,130087,266644,0,1539939,139526,604763,0,0,0
103.03,"Census Tract 103.03, El Paso County, Texas",7531942,1257199,817042,524859,0,270790,0,769330,198764,399869,0,0,0
12.03,"Census Tract 12.03, El Paso County, Texas",1040314,118890,11931488,428985,969829,999181,384721,5707578,1534835,786138,0,3507556,0
